portfolio_id,kind,label,params
P1,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P1,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P1,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P1,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P1,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P1,participation_limit,adv,"{""direction"": ""<=""}"
P2,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P2,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P2,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P2,group_limit,sector_floor,"{""direction"": "">="", ""column"": ""sector"", ""bounds"": {""TECH"": ""0.5"", ""HEALTH"": ""0""}}"
P2,group_limit,sector_cap,"{""direction"": ""<="", ""column"": ""sector"", ""bounds"": {""TECH"": ""1"", ""HEALTH"": ""0.5""}}"
P2,participation_limit,adv,"{""direction"": ""<=""}"
P3,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P3,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P3,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
P3,participation_limit,adv,"{""direction"": ""<=""}"
P4,cash_limit,cash_floor,"{""direction"": "">="", ""bounds"": {""scalar"": ""cash_lb""}}"
P4,cash_limit,cash_cap,"{""direction"": ""<="", ""bounds"": {""scalar"": ""cash_ub""}}"
P4,turnover_limit,turnover,"{""direction"": ""<="", ""bounds"": {""scalar"": ""max_turnover""}}"
