portfolio_id,name,state,st_tax_rate,lt_tax_rate,cash,nav,max_weight,max_turnover,max_adv_participation,min_trade_notional,cash_lb,cash_ub
P1,Alpha Growth,NY,0.40,0.20,400000,1000000,0.4,2,0.25,0,0,0.6
P2,Beta Income,CA,0.37,0.20,400000,1000000,0.6,2,0.25,0,0,0.6
P3,Brightwater Trust,CT,0.38,0.20,2000000,5000000,0.4,1.0,0.3,0,0,1
P4,Beta Balanced,TX,0.32,0.15,1050000,4200000,0.5,1.5,0.25,500,0,0.6
P5,Fairmount Dividend,IL,0.35,0.18,350050,1400000,0.6,2,0.2,0,0,0.5
P6,Marlow Endowment,PA,0.35,0.18,280000,1400000,0.6,1.0,0.15,0,0,1
P7,Calderon Income,CA,0.37,0.20,1260000,4200000,0.5,1.5,0.3,1000,0,0.6
P8,Gamma Tax-Aware,MA,0.38,0.20,490000,1400000,0.6,2,0.25,0,0,1
P9,Cascade Reserve,NJ,0.39,0.20,1380000,4600000,0.5,1.0,0.2,500,0,0.6
P10,Redwood Growth,NY,0.40,0.20,1050000,3500000,0.6,1.5,0.15,0,0,0.5
P11,Dunmore Core Equity,FL,0.32,0.15,840150,2800000,0.5,2,0.3,0,0,0.8
P12,Harbor Opportunity,WA,0.33,0.15,1840000,4600000,0.5,1.0,0.25,1000,0,0.8
P13,Sterling Trust,CT,0.38,0.20,700000,2000000,0.6,1.5,0.2,0,0,0.6
P14,Ashford Balanced,TX,0.32,0.15,400000,1000000,0.45,2,0.15,500,0,0.8
P15,Alpha Dividend,IL,0.35,0.18,490000,1400000,0.4,1.0,0.3,0,0,0.6
P16,Ridgeline Endowment,PA,0.35,0.18,700000,2000000,0.6,1.5,0.25,0,0,0.6
P17,Kestrel Income,CA,0.37,0.20,300000,1000000,0.5,2,0.2,1000,0,0.8
P18,Brightwater Tax-Aware,MA,0.38,0.20,1050000,3500000,0.45,1.0,0.15,0,0,0.6
P19,Beta Reserve,NJ,0.39,0.20,800000,2000000,0.45,1.5,0.3,500,0,0.8
P20,Fairmount Growth,NY,0.40,0.20,1890000,4200000,0.4,2,0.25,0,0,1
P21,Marlow Core Equity,FL,0.32,0.15,1050000,4200000,0.5,1.0,0.2,0,0,0.8
P22,Calderon Opportunity,WA,0.33,0.15,560000,1400000,0.4,1.5,0.15,1000,0,0.5
P23,Gamma Trust,CT,0.38,0.20,2000000,5000000,0.4,2,0.3,0,0,0.8
