portfolio_id,security_id,lot_id,quantity,avg_cost,acquired_on
P1,A,L1,3000,100,2024-01-15T00:00:00Z
P1,B,L1,6000,60,2024-01-15T00:00:00Z
P2,A,L1,3000,100,2025-11-01T00:00:00Z
P2,B,L1,6000,60,2025-11-01T00:00:00Z
P3,A,L1,17500,90,2025-11-01T00:00:00Z
P3,B,L1,25000,40,2025-11-01T00:00:00Z
P4,A,L1,12600,90,2025-11-01T00:00:00Z
P4,B,L1,37800,40,2025-11-01T00:00:00Z
P5,A,L1,2800,110,2025-11-01T00:00:00Z
P5,B,L1,15399,40,2025-11-01T00:00:00Z
P6,A,L1,5600,110,2024-01-15T00:00:00Z
P6,B,L1,11200,60,2024-01-15T00:00:00Z
P7,A,L1,14700,100,2024-01-15T00:00:00Z
P7,B,L1,29400,40,2024-01-15T00:00:00Z
P8,A,L1,2800,100,2024-01-15T00:00:00Z
P8,B,L1,12600,40,2024-01-15T00:00:00Z
P9,A,L1,18400,100,2024-01-15T00:00:00Z
P9,B,L1,27600,40,2024-01-15T00:00:00Z
P10,A,L1,10500,110,2025-11-01T00:00:00Z
P10,B,L1,28000,40,2025-11-01T00:00:00Z
P11,A,L1,9799,110,2024-01-15T00:00:00Z
P11,B,L1,19599,60,2024-01-15T00:00:00Z
P12,A,L1,11500,110,2024-01-15T00:00:00Z
P12,B,L1,32200,60,2024-01-15T00:00:00Z
P13,A,L1,8000,110,2025-11-01T00:00:00Z
P13,B,L1,10000,40,2025-11-01T00:00:00Z
P14,A,L1,2000,110,2025-11-01T00:00:00Z
P14,B,L1,8000,40,2025-11-01T00:00:00Z
P15,A,L1,4900,90,2025-11-01T00:00:00Z
P15,B,L1,8400,40,2025-11-01T00:00:00Z
P16,A,L1,8000,90,2024-01-15T00:00:00Z
P16,B,L1,10000,40,2024-01-15T00:00:00Z
P17,A,L1,2500,100,2025-11-01T00:00:00Z
P17,B,L1,9000,40,2025-11-01T00:00:00Z
P18,A,L1,12250,100,2025-11-01T00:00:00Z
P18,B,L1,24500,40,2025-11-01T00:00:00Z
P19,A,L1,7000,100,2025-11-01T00:00:00Z
P19,B,L1,10000,40,2025-11-01T00:00:00Z
P20,A,L1,8400,100,2025-11-01T00:00:00Z
P20,B,L1,29400,60,2025-11-01T00:00:00Z
P21,A,L1,16800,110,2024-01-15T00:00:00Z
P21,B,L1,29400,60,2024-01-15T00:00:00Z
P22,A,L1,4900,90,2025-11-01T00:00:00Z
P22,B,L1,7000,60,2025-11-01T00:00:00Z
P23,A,L1,12500,90,2024-01-15T00:00:00Z
P23,B,L1,35000,40,2024-01-15T00:00:00Z
P24,A,L1,16800,110,2025-11-01T00:00:00Z
P24,B,L1,29400,60,2025-11-01T00:00:00Z
P25,A,L1,6000,90,2025-11-01T00:00:00Z
P25,B,L1,14000,60,2025-11-01T00:00:00Z
P26,A,L1,9200,110,2024-01-15T00:00:00Z
P26,B,L1,41400,60,2024-01-15T00:00:00Z
P27,A,L1,10000,90,2024-01-15T00:00:00Z
P27,B,L1,40000,40,2024-01-15T00:00:00Z
P28,A,L1,4000,110,2025-11-01T00:00:00Z
P28,B,L1,20000,60,2025-11-01T00:00:00Z
P29,A,L1,7000,100,2025-11-01T00:00:00Z
P29,B,L1,16000,40,2025-11-01T00:00:00Z
P30,A,L1,14700,90,2024-01-15T00:00:00Z
P30,B,L1,29400,40,2024-01-15T00:00:00Z
P31,A,L1,4000,110,2025-11-01T00:00:00Z
P31,B,L1,7000,40,2025-11-01T00:00:00Z
P32,A,L1,4000,90,2025-11-01T00:00:00Z
P32,B,L1,14000,40,2025-11-01T00:00:00Z
P33,A,L1,7000,100,2025-11-01T00:00:00Z
P33,B,L1,22400,60,2025-11-01T00:00:00Z
P34,A,L1,4200,100,2025-11-01T00:00:00Z
P34,B,L1,8400,60,2025-11-01T00:00:00Z
P35,A,L1,10500,110,2025-11-01T00:00:00Z
P35,B,L1,46199,60,2025-11-01T00:00:00Z
P36,A,L1,10000,90,2025-11-01T00:00:00Z
P36,B,L1,54999,40,2025-11-01T00:00:00Z
P37,A,L1,15000,100,2024-01-15T00:00:00Z
P37,B,L1,40000,40,2024-01-15T00:00:00Z
P38,A,L1,7000,100,2024-01-15T00:00:00Z
P38,B,L1,22400,60,2024-01-15T00:00:00Z
P39,A,L1,11200,100,2025-11-01T00:00:00Z
P39,B,L1,14000,40,2025-11-01T00:00:00Z
P40,A,L1,12500,90,2024-01-15T00:00:00Z
P40,B,L1,45000,40,2024-01-15T00:00:00Z
P41,A,L1,5600,90,2024-01-15T00:00:00Z
P41,B,L1,11200,40,2024-01-15T00:00:00Z
P42,A,L1,14000,100,2025-11-01T00:00:00Z
P42,B,L1,28000,40,2025-11-01T00:00:00Z
P43,A,L1,12600,90,2025-11-01T00:00:00Z
P43,B,L1,33600,40,2025-11-01T00:00:00Z
P44,A,L1,7000,110,2024-01-15T00:00:00Z
P44,B,L1,25200,60,2024-01-15T00:00:00Z
P45,A,L1,20000,110,2024-01-15T00:00:00Z
P45,B,L1,40000,40,2024-01-15T00:00:00Z
P46,A,L1,9799,110,2025-11-01T00:00:00Z
P46,B,L1,19600,40,2025-11-01T00:00:00Z
P47,A,L1,15000,90,2024-01-15T00:00:00Z
P47,B,L1,40000,60,2024-01-15T00:00:00Z
P48,A,L1,5600,100,2024-01-15T00:00:00Z
P48,B,L1,19600,40,2024-01-15T00:00:00Z
P49,A,L1,8400,110,2024-01-15T00:00:00Z
P49,B,L1,46199,60,2024-01-15T00:00:00Z
P50,A,L1,8000,90,2024-01-15T00:00:00Z
