portfolio_id,security_id,side,quantity,reference_price,notional,target_weight,unrounded_shares,spec_hash,run_id,as_of_date
P1,B,SELL,2000,50,100000,0.20000000084527308,-1999.999983094538,32a800a88a3e34ff935dd84cce97c08eec67affddcfd5497f9e8296e4e6e195c,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P10,A,SELL,7000,100,700000,0.10000003595301181,-6999.998741644586,b9195c660ae89e23e432389b3b6c85678f84b3c97b51567ecca7b618b2257f5f,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P11,B,SELL,11197,50,559850,0.15003571455538803,-11196.99998489827,3bae3999e9ec2e9921b5f097c5033c42d7784a60b3139ee65adc739ea044c8c1,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P12,B,SELL,9200,50,460000,0.2500000003266842,-9199.999969945053,337422f513045c5f24dae4675acfe4a4f34d574b44ab4d0fcc652b6945f2129c,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P13,A,SELL,5000,100,500000,0.15000000064523483,-4999.999987095303,69784bff20665917026448edaf3ad0edea285ab772c7da6aefa2d443be27cc67,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P14,A,SELL,1000,100,100000,0.10000002932445524,-999.9997067554476,945bccc25888b3ed46af310ef5ac656913a83fe79e46d3a3f6f55fbbcafd4440,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P2,B,SELL,2000,50,100000,0.20000000067292323,-1999.9999865415352,5042549e6444bdf3d1f6eb2df4e4d47fb809f2949c547c146cbbdd1e3c277a88,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P20,B,SELL,29400,50,1470000,8.348878006691795e-10,-29399.99992986942,f34ca2ce56cdb5bf954fddff27c96cb9e49ed0bc557963d9b49286b2c7f33eec,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P21,B,SELL,21000,50,1050000,0.10000000009851882,-20999.999991724417,c41331d41f0f47710b0a754d8d289110199e078c7998b18364d7bae23d77ae9a,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P22,B,SELL,2800,50,140000,0.15000000128926616,-2799.9999639005473,258202fdce03ae67686ea0ed09129d03d891c8f0b1c67880182707a468ef460d,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P24,B,SELL,21000,50,1050000,0.10000000002983779,-20999.999997493625,a32b1ac85f1ea7d11fe72162e13518436fd0e7a36d5d2eebcda7749e23b22eb8,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P25,B,SELL,6000,50,300000,0.2000000016110351,-5999.999935558595,d61f807bf221fcbe7908daa5b487135fe01763e266c77ed33363410ca15da1a5,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P26,B,SELL,23000,50,1150000,0.20000000297507964,-22999.999726292674,c4a332d046f2e438200285334a45ee4fbfab55e503a45296f4cd59fb042c5fbd,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P28,B,SELL,8000,50,400000,0.3000000004740731,-7999.9999810370755,d1690a28dc7d7dc261b563051e6defe77489c6274c91b8cbc18b897e832d5fdf,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P31,A,SELL,2500,100,250000,0.1500000460666168,-2499.999539333832,6ac4b55e478d2dd1385f2d4253edd711d3a2f0b7a04e1bcb85587ad2d19c8557,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P33,B,SELL,8400,50,420000,0.2500000160650546,-8399.999100356943,ce4777e025a96cc39a2e77cb0bdc4c4adc48fe3c0f60056579963fc9da7f1e2d,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P35,B,SELL,25199,50,1259950,0.25000000464141103,-25198.99961012147,50fb366289335bc988c61abc3cc98cbdd3124131f1a55b836efdb454224335b3,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P44,B,SELL,25200,50,1260000,3.1559132351192235e-10,-25199.999982326884,659674bf2d24b3365adeb23b2372eb7542a7b7a26e26ad6449aef72e166fe77b,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P46,A,SELL,9799,100,979900,2.913666151367329e-08,-9798.999184173477,22cdd8a36593128be6a37db1bbd40c632946533886c3d911b6e290e2a9d97463,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P47,B,SELL,20000,50,1000000,0.19999999962719478,-20000.000037280523,0d9fa10d4eaefd554c2afc7d6235392ea715d5a031c96fe7d1d45c6ff94c33b4,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P5,A,SELL,2800,100,280000,1.6609923780733703e-08,-2799.999767461067,72ec4888c9d517656867a2a7152eba3d9dd0df9983bd7ee576f341aa87a3ed55,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P51,B,SELL,14000,50,700000,1.441373192025559e-09,-13999.999899103877,109d1ce9952db89244f611200fbd61d2ed7b7cb6f87ac7d73d4f3bd331f184d0,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P56,B,SELL,4000,50,200000,0.1500000010731354,-3999.9999785372916,1b2c1cbefaf690699395285dab0d372d059816ea986a0eb76ff57cd78d042d2b,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P58,A,SELL,2500,100,250000,0.15000002850366664,-2499.998574816668,d52aed3e304c40b6028aabc62ffbf0749ed296cdede4cdc4ab0031b029f1526b,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P59,B,SELL,11198,50,559900,0.1500357144797539,-11197.999989133781,66a5035200f7f200a674062f8c09c03064234e1d087d54c22ed60524caecc132,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P6,B,SELL,8400,50,420000,0.10000000004996036,-8399.999998601112,074b41504aa06122046544209e87b03b7b73ba3681f4ef462997276315f387ba,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P61,A,SELL,6900,100,690000,0.10000003113663668,-6899.998567714712,0302a961b09ba8e2e1c767480555ad89fbccae29501c4b3e99e0da76d1c172a6,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P62,A,SELL,3500,100,350000,0.15000005834002011,-3499.997958099296,6a0c0e6b6f6d8bc959c8c0401d11e77fb058560b574e4f9d3353e04c43d4ba4c,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P64,A,SELL,10000,100,1000000,5.454544697539913e-08,-9999.997272727653,4426c3512568631d7f313a7f031fa4c3b9d175d8ba69d020ad272ef88069275a,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P68,A,SELL,2800,100,280000,0.15000002209487293,-2799.999381343558,08158341c3389715df26c992debc2f5b63b57d9d04621ce4945c16e7f8a6fe4d,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P71,B,SELL,5599,50,279950,0.25000000039923287,-5598.9999776429595,a6add8d86973147e0a2cfec938a298b479b709ca95a6a3a3715e3247b06b2394,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P74,A,SELL,1000,100,100000,0.20000091273657697,-999.9908726342302,2cd6f74f11ef4e3285cfb2d89f389263959f5882764f452c81d6263e1f7c2f2d,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P75,B,SELL,8399,50,419950,0.2000000000436458,-8398.999997555835,bd71b51a59b8843bf36a8a42f5d8840e0809c14a8bc3220e2c747520d0e6902e,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P79,A,SELL,2000,100,200000,0.15000000105660705,-1999.999978867859,1434ce4fa47ec1fd2a8c48428783f9194bee7ed05fa0fba20817cdee1d1ec8fd,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P83,B,SELL,25000,50,1250000,0.10000000017292873,-24999.999982707126,e03bc742b620a072d89ca421c06d8972f0a666264a38ddcea9814f6aec9db8f5,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P88,A,SELL,1500,100,150000,0.20000001633648284,-1499.9998366351713,ac9c82f8ac63956e1fda9557df54f80465b575eade4d620d50977503a3f9e856,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P91,A,SELL,12600,100,1260000,4.71192041116907e-09,-12599.999802099343,ed34539897ddec397f2f4a50a6636b9765a2e31bccea21828fbf87ea796387a3,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
P91,B,SELL,9008,50,450400,0.2927619049859863,-9007.999981177152,ed34539897ddec397f2f4a50a6636b9765a2e31bccea21828fbf87ea796387a3,run-f8f70e3483b2,2026-08-28 00:00:00+00:00
